Title,Actors,Director,Genre,Year,Runtime
Assassin's Creed,Michael Fassbender; Marion Cotillard; Jeremy Irons,Justin Kurzel,Action; Adventure; Science Fiction,2016,115
Sex Tape,Cameron Diaz; Jason Segel; Rob Corddry,Jake Kasdan,Comedy,2014,97
Furious 7,Vin Diesel; Paul Walker; Dwayne Johnson,James Wan,Action,2015,137
Dark Skies,Keri Russell; Josh Hamilton; Dakota Goyo,Scott Stewart,Science Fiction; Thriller; Horror,2013,97
Titanic,Kate Winslet; Leonardo DiCaprio; Frances Fisher,James Cameron,Drama; Romance; Thriller,1997,194
Ant-Man,Paul Rudd; Michael Douglas; Evangeline Lilly,Peyton Reed,Science Fiction; Action; Adventure,2015,117
Pan's Labyrinth,Ivana Baquero; Maribel Verdú; Sergi López,Guillermo del Toro,Fantasy; Drama; War,2006,118
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth,Francis Lawrence,Action; Adventure; Science Fiction,2015,137
"Monsters, Inc.",John Goodman; Billy Crystal; Mary Gibbs,Pete Docter,Animation; Comedy; Family,2001,92
The Amazing Spider-Man 2,Andrew Garfield; Emma Stone; Jamie Foxx,Marc Webb,Action; Adventure; Fantasy,2014,142
World War Z,Brad Pitt; Mireille Enos; Abigail Hargrove,Marc Forster,Action; Drama; Horror; Science Fiction; Thriller,2013,116
The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart; Robert Pattinson; Taylor Lautner,Bill Condon,Adventure; Fantasy; Drama; Romance,2012,115
X-Men: Days of Future Past,Hugh Jackman; James McAvoy; Michael Fassbender,Bryan Singer,Action; Adventure; Fantasy; Science Fiction,2014,131
Zootopia,Ginnifer Goodwin; Jason Bateman; Shakira,Byron Howard,Animation; Adventure; Family; Comedy,2016,108
The Twilight Saga: Breaking Dawn - Part 1,Kristen Stewart; Robert Pattinson; Taylor Lautner,Bill Condon,Adventure; Fantasy; Romance,2011,117
Justice League,Ben Affleck; Henry Cavill; Gal Gadot,Zack Snyder,Action; Adventure; Fantasy; Science Fiction,2017,0
Don't Breathe,Jane Levy; Dylan Minnette; Daniel Zovatto,Fede Alvarez,Crime; Horror; Thriller,2016,88
Back to the Future,Michael J. Fox; Christopher Lloyd; Lea Thompson,Robert Zemeckis,Adventure; Comedy; Science Fiction; Family,1985,116
The Martian,Matt Damon; Jessica Chastain; Kristen Wiig,Ridley Scott,Drama; Adventure; Science Fiction,2015,141
Finding Nemo,Albert Brooks; Ellen DeGeneres; Alexander Gould,Andrew Stanton,Animation; Family,2003,100
Colossal,Anne Hathaway; Jason Sudeikis; Tim Blake Nelson,Nacho Vigalondo,Action; Comedy; Drama; Fantasy; Science Fiction,2017,110
The Hunger Games: Catching Fire,Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth,Francis Lawrence,Adventure; Action; Science Fiction,2013,146
Self/less,Ryan Reynolds; Ben Kingsley; Natalie Martinez,Tarsem Singh,Science Fiction; Mystery; Thriller,2015,116
Kill Bill: Vol. 1,Uma Thurman; Lucy Liu; Vivica A. Fox,Quentin Tarantino,Action; Crime,2003,111
